fish_id,country
1911,Thailand
1487,Thailand
3048,Thailand
1603,Thailand
3049,Thailand
3050,Thailand
3051,Thailand
3052,Thailand
3053,Thailand
1876,Thailand
3054,Thailand
3055,Thailand
3056,Thailand
3057,Thailand
3058,Thailand
3059,Thailand
3060,Thailand
2024,Thailand
3061,Thailand
3062,Thailand
3063,Thailand
3064,Thailand
3065,Thailand
3066,Thailand
457,Thailand
2106,Thailand
1578,Thailand
1276,Thailand
3067,Thailand
3068,Thailand
3069,Thailand
398,Thailand
430,Thailand
3070,Thailand
3071,Thailand
1361,Thailand
1410,Thailand
3072,Thailand
3073,Thailand
3074,Thailand
449,Thailand
3075,Thailand
3076,Thailand
3077,Thailand
1615,Thailand
3078,Thailand
3079,Thailand
3080,Thailand
3081,Thailand
3082,Thailand
3083,Thailand
3084,Thailand
3085,Thailand
3086,Thailand
732,Thailand
3087,Thailand
3088,Thailand
3089,Thailand
3090,Thailand
1326,Thailand
1350,Thailand
3091,Thailand
3092,Thailand
3093,Thailand
3094,Thailand
3095,Thailand
1081,Thailand
1394,Thailand
3096,Thailand
2068,Thailand
459,Thailand
1744,Thailand
1130,Thailand
1421,Thailand
3097,Thailand
3098,Thailand
3099,Thailand
565,Thailand
3100,Thailand
737,Thailand
722,Thailand
507,Thailand
3101,Thailand
3102,Thailand
3103,Thailand
3104,Thailand
3105,Thailand
3106,Thailand
3107,Thailand
3108,Thailand
3109,Thailand
1469,Thailand
439,Thailand
3110,Thailand
3111,Thailand
3112,Thailand
37,Thailand
3113,Thailand
3114,Thailand
3115,Thailand
3116,Thailand
1859,Thailand
1663,Thailand
3117,Thailand
3118,Thailand
3119,Thailand
3120,Thailand
3121,Thailand
3122,Thailand
3123,Thailand
1365,Thailand
1768,Thailand
3124,Thailand
3125,Thailand
3126,Thailand
3127,Thailand
3128,Thailand
2127,Thailand
3129,Thailand
3130,Thailand
3131,Thailand
176,Thailand
2094,Thailand
1916,Thailand
3132,Thailand
3133,Thailand
3134,Thailand
3135,Thailand
3136,Thailand
3137,Thailand
1476,Thailand
3138,Thailand
3139,Thailand
3140,Thailand
1907,Thailand
979,Thailand
3141,Thailand
3142,Thailand
505,Thailand
3143,Thailand
3144,Thailand
3145,Thailand
1023,Thailand
