country,common_name,total_observations
Indonesia,"Sixspot Glidergoby",95
Indonesia,"Bluehead Demoiselle",94
Indonesia,"Redspot Cardinalfish",94
Indonesia,Diamondfish,94
Indonesia,Barramundi,93
Indonesia,"Powder Blue Tang",93
Indonesia,"Lamarck'S Angelfish",93
Indonesia,Lethrinus,93
Indonesia,"Tail-Brooding Pipefish",93
Indonesia,"Redspotted Sandperch",92
Indonesia,"Breastspot Cleanerfish",92
Indonesia,"Pacific Dusky Wrasse",92
Indonesia,"Frostfin Cardinalfish",92
Indonesia,"Goldsaddle Goatfish",92
Indonesia,"Peacock Basse",92
Indonesia,"Dogtooth Tuna",91
Indonesia,"Bengal Snapper",91
Indonesia,Chromi,91
Indonesia,"Oblique-Bar Monocle Bream",90
Indonesia,"Sleek Unicornfish",90
Indonesia,"Lunar Fusilier",90
Indonesia,"Banded Mulletgoby",90
Indonesia,"Blackbar Chromi",89
Indonesia,Synodus,89
Indonesia,"Olive Ridley Sea Turtle",89
Indonesia,"Bluestriped Snapper",89
Indonesia,"Shortspine Porcupinefish",89
Indonesia,"Forest Snakehead",89
Indonesia,Gobiinae,89
Indonesia,"Firetail Dottyback",88
Indonesia,"Longfin Bannerfish",88
Indonesia,"Splendid Dottyback",88
Indonesia,Filefish,88
Indonesia,"Slender Lizardfish",87
Indonesia,"Onespot Demoiselle",87
Indonesia,"Scaly Damsel",87
Indonesia,"Bluepatch Parrotfish",87
Indonesia,"Flasher Sandgoby",87
Indonesia,"Longfin Rockcod",87
Indonesia,"Striped Clingfish",87
Indonesia,"Yellow-Edged Lyretail",87
Indonesia,"Doubleline Fusilier",86
Indonesia,"Puffer Filefish",86
Indonesia,"Golden Sweeper",86
Indonesia,"Moluccan Cardinalfish",86
Indonesia,"Redshoulder Wrasse",86
Indonesia,"Chocolate Grouper",86
Indonesia,"Redspot Emperor",86
Indonesia,"Barred Rabbitfish",85
Indonesia,Epinephelus,85
Indonesia,"Scribbled Rabbitfish",85
Indonesia,"Pale-Tail Chromi",85
Indonesia,"Royal Dottyback",85
Indonesia,"Bath'S Blenny",85
Indonesia,"Blacklined Glidergoby",84
Indonesia,"Irrawaddy Dolphin",84
Indonesia,"Java Rabbitfish",83
Indonesia,"Bluestripe Lizardfish",83
Indonesia,Chlorurus,83
Indonesia,"Palespotted Combtooth Blenny",82
Indonesia,"Wirenet Filefish",82
Indonesia,Bathygobius,82
Indonesia,"Rhombic Barb",82
Indonesia,"Iridescent Cardinalfish",82
Indonesia,"Silver Arowana",82
Indonesia,"Grey Knight Goby",81
Indonesia,"Flowerhorn Cichlid",81
Indonesia,"Java Barb",81
Indonesia,"Whitestripe Sandperch",81
