scientific_name,common_name,image_url
Selar boops,Oxeye Scad,https://inaturalist-open-data.s3.amazonaws.com/photos/258145473/medium.jpg
Hippocampus,Seahorses,https://inaturalist-open-data.s3.amazonaws.com/photos/14446408/medium.jpg
Aulostomus chinensis,Pacific Trumpetfish,https://inaturalist-open-data.s3.amazonaws.com/photos/61754806/medium.jpg
Epinephelus quoyanus,Longfin Rockcod,https://inaturalist-open-data.s3.amazonaws.com/photos/326867475/medium.jpg
Bryaninops,Bryaninops,https://inaturalist-open-data.s3.amazonaws.com/photos/180308436/medium.jpeg
Melanotaenia praecox,Neon Rainbowfish,https://inaturalist-open-data.s3.amazonaws.com/photos/99090908/medium.jpeg
Pseudocheilinus hexataenia,Sixline Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/235495682/medium.jpg
Balistapus undulatus,Orangestripe Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70598017/medium.jpg
Atheriniformes,Silversides,https://inaturalist-open-data.s3.amazonaws.com/photos/181127201/medium.jpg
Nectamia viria,Bracelet Cardinalfish,https://static.inaturalist.org/photos/5717582/medium.jpg
Oxymonacanthus longirostris,Longnose Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/8033213/medium.jpg
Gymnothorax zonipectis,Barred-fin Moray,https://static.inaturalist.org/photos/59054812/medium.jpeg
Chrysiptera rollandi,Bluehead Demoiselle,https://inaturalist-open-data.s3.amazonaws.com/photos/348159838/medium.jpg
Plectropomus oligacanthus,Highfin Coralgrouper,https://inaturalist-open-data.s3.amazonaws.com/photos/255297717/medium.jpg
Lutjanus argentimaculatus,Mangrove Red Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/42950611/medium.jpeg
Chromis analis,Yellow Chromis,https://inaturalist-open-data.s3.amazonaws.com/photos/546083/medium.jpg
Chromis ternatensis,Ternate Chromis,https://inaturalist-open-data.s3.amazonaws.com/photos/182598522/medium.jpg
Dunckerocampus dactyliophorus,Banded Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/38118832/medium.jpg
Ostorhinchus nigrofasciatus,Blackstriped Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/8681537/medium.jpg
Synchiropus,Synchiropus,https://inaturalist-open-data.s3.amazonaws.com/photos/10499/medium.jpg
Pomacentrus brachialis,Charcoal Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/236362802/medium.jpg
Ostracion cubicum,Yellow Boxfish,https://inaturalist-open-data.s3.amazonaws.com/photos/230133564/medium.jpg
Trimma cana,Candycane Dwarfgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/236392598/medium.jpg
Pycnochromis retrofasciatus,Blackbar Chromis,https://inaturalist-open-data.s3.amazonaws.com/photos/551464/medium.jpg
Eviota atriventris,Neon Pygmy-goby,https://inaturalist-open-data.s3.amazonaws.com/photos/236609905/medium.jpg
Cirrhitichthys aprinus,Threadfin Hawkfish,https://static.inaturalist.org/photos/11409062/medium.jpg
Holocentridae,Squirrelfishes and Soldierfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/16566970/medium.jpg
Cephalopholis miniata,Coral Grouper,https://static.inaturalist.org/photos/12505448/medium.jpg
Fistularia commersonii,Blue-spotted Cornetfish,https://static.inaturalist.org/photos/32188546/medium.jpg
Acanthurus fowleri,Horseshoe Surgeonfish,https://inaturalist-open-data.s3.amazonaws.com/photos/165006/medium.jpg
Azurina elerae,Twinspot chromis,https://static.inaturalist.org/photos/29965673/medium.jpg
Doryrhamphus janssi,Cleaner Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/82985077/medium.jpg
Cheilodipterus,Cheilodipterus,https://static.inaturalist.org/photos/14760778/medium.jpg
Naso minor,Blackspine Unicornfish,https://inaturalist-open-data.s3.amazonaws.com/photos/1683781/medium.jpg
Callionymus,Callionymus,https://inaturalist-open-data.s3.amazonaws.com/photos/14910535/medium.jpg
Trichonotus,Trichonotus,https://inaturalist-open-data.s3.amazonaws.com/photos/448172/medium.jpg
Aluterus scriptus,Scrawled Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/145409892/medium.jpeg
Scorpaenoidei,Scorpionfishes and allies,https://inaturalist-open-data.s3.amazonaws.com/photos/15692857/medium.jpg
Heniochus diphreutes,Schooling Bannerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/170410415/medium.jpeg
Gorgasia barnesi,Barnes' Garden Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/343867138/medium.jpg
Brachysomophis henshawi,Reptilian Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/220008/medium.jpg
Ostorhinchus cyanosoma,Yellowstriped Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/722172/medium.jpg
Lethrinus,Lethrinus,https://inaturalist-open-data.s3.amazonaws.com/photos/11975375/medium.jpeg
Antennarius striatus,Striate Anglerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/6075251/medium.jpg
Antennariidae,Frogfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/43767791/medium.jpeg
Canthigaster bennetti,Whitebelly Toby,https://static.inaturalist.org/photos/26274213/medium.jpg
Epinephelus merra,Honeycomb Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/5921949/medium.jpg
Neochirus brachyptera,Dwarf Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/11974491/medium.jpeg
Plectorhinchus chaetodonoides,Harlequin Sweetlips,https://inaturalist-open-data.s3.amazonaws.com/photos/83219315/medium.jpg
Platax pinnatus,Dusky Batfish,https://inaturalist-open-data.s3.amazonaws.com/photos/15104904/medium.jpg
Aeoliscus strigatus,Jointed Razorfish,https://inaturalist-open-data.s3.amazonaws.com/photos/38429774/medium.jpg
Pristiapogon fraenatus,Spurcheek Cardinalfish,https://static.inaturalist.org/photos/15017956/medium.jpg
Diodon holocanthus,Longspined Porcupinefish,https://inaturalist-open-data.s3.amazonaws.com/photos/246231050/medium.jpg
Ecsenius pictus,Pictus blenny,https://inaturalist-open-data.s3.amazonaws.com/photos/217887/medium.jpg
Hemigymnus melapterus,Blackeye Thicklip,https://inaturalist-open-data.s3.amazonaws.com/photos/254448032/medium.jpg
Cephalopholis urodeta,Flagtail Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/86924537/medium.jpg
Echidna nebulosa,Snowflake Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg
Pseudocheilinus evanidus,Disappearing Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/449657982/medium.jpg
Epinephelus fuscoguttatus,Flowery Rockcod,https://inaturalist-open-data.s3.amazonaws.com/photos/2433956/medium.jpg
Xanthichthys auromarginatus,Gilded Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/275406393/medium.jpg
Chaetodon kleinii,Blacklip Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/233628218/medium.jpg
Chaetodon adiergastos,Panda Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/370087801/medium.jpg
Chaetodon unimaculatus,Teardrop Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/13199581/medium.jpg
Chaetodon trifascialis,Chevron Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/171100563/medium.jpg
Lutjanus rivulatus,Speckled Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/103849383/medium.jpg
Scarus niger,Swarthy Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/153582238/medium.jpg
Centropyge bispinosa,Coral Beauty,https://inaturalist-open-data.s3.amazonaws.com/photos/265781737/medium.jpg
Lutjanus monostigma,Onespot Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/66907/medium.jpg
Chaetodon speculum,Oval-spot Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/236392515/medium.jpg
Caesio caerulaurea,Scissor-tailed Fusilier,https://inaturalist-open-data.s3.amazonaws.com/photos/612055/medium.jpg
Epinephelus ongus,Specklefin Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/109440274/medium.jpeg
